Month,Year,Rainfall,WPI
4,2012,47.5,123.7
5,2012,31.7,122.1
6,2012,117.8,120.4
7,2012,250.2,125.6
8,2012,262.4,134.8
9,2012,193.5,137.9
10,2012,58.7,138.1
11,2012,30.7,143.3
12,2012,11.7,149.7
1,2013,11.3,159.3
2,2013,40.1,161.2
3,2013,15.7,161.6
4,2013,30.4,160.5
5,2013,57.8,155.2
6,2013,219.8,155
7,2013,310,157.2
8,2013,254.7,157.2
9,2013,152.7,159.6
10,2013,129.4,149.7
11,2013,14,159.7
12,2013,6.7,164.5
1,2014,19.2,147.8
2,2014,27.4,142.5
3,2014,36.1,145.4
4,2014,22.2,147.1
5,2014,72.9,140.8
6,2014,95.4,138.7
7,2014,261.2,138.5
8,2014,237.5,141.9
9,2014,188,136.8
10,2014,60.2,136
11,2014,14.4,130.2
12,2014,10.7,127.6
1,2015,17.4,125.5
2,2015,21,121.9
3,2015,62,119.8
4,2015,69.4,116.3
5,2015,53.8,112.9
6,2015,192.8,116.1
7,2015,242.4,116.1
8,2015,205.2,114.6
9,2015,131.8,110.5
10,2015,42.9,110.1
11,2015,39.4,109.5
12,2015,15,108
1,2016,19.3,108.5
2,2016,22.8,105.7
3,2016,27.6,104.7
4,2016,37.4,119.2
5,2016,62.6,119.6
6,2016,168.3,117.2
7,2016,289.1,116
8,2016,256.3,123.7
9,2016,171.9,122.6
10,2016,76.1,118.5
11,2016,29.7,118.8
12,2016,14.9,117.3
1,2017,19,116.4
2,2017,22.6,117.8
3,2017,27.8,115.6
4,2017,37.9,116.4
5,2017,62.4,116.3
6,2017,168.1,114.3
7,2017,289.3,113.2
8,2017,256.2,115.9
9,2017,171.5,119.7
10,2017,76.3,118.5
11,2017,29.9,120.4
12,2017,15,128.3
1,2018,19.2,132.2
2,2018,20.1,133.4
3,2018,27.1,130.1
4,2018,40.2,128.1
5,2018,62.7,126.8
6,2018,165,128.1
7,2018,286.3,130
8,2018,254.3,133.9
9,2018,171.9,141.3
10,2018,77.2,150.1
11,2018,28.1,160.8
12,2018,14.1,168.8
4,2012,47.5,123.7
5,2012,31.7,122.1
6,2012,117.8,120.4
7,2012,250.2,125.6
8,2012,262.4,134.8
9,2012,193.5,137.9
10,2012,58.7,138.1
11,2012,30.7,143.3
12,2012,11.7,149.7
1,2013,11.3,159.3
2,2013,40.1,161.2
3,2013,15.7,161.6
4,2013,30.4,160.5
5,2013,57.8,155.2
6,2013,219.8,155
7,2013,310,157.2
8,2013,254.7,157.2
9,2013,152.7,159.6
10,2013,129.4,149.7
11,2013,14,159.7
12,2013,6.7,164.5
1,2014,19.2,147.8
2,2014,27.4,142.5
3,2014,36.1,145.4
4,2014,22.2,147.1
5,2014,72.9,140.8
6,2014,95.4,138.7
7,2014,261.2,138.5
8,2014,237.5,141.9
9,2014,188,136.8
10,2014,60.2,136
11,2014,14.4,130.2
12,2014,10.7,127.6
1,2015,17.4,125.5
2,2015,21,121.9
3,2015,62,119.8
4,2015,69.4,116.3
5,2015,53.8,112.9
6,2015,192.8,116.1
7,2015,242.4,116.1
8,2015,205.2,114.6
9,2015,131.8,110.5
10,2015,42.9,110.1
11,2015,39.4,109.5
12,2015,15,108
1,2016,19.3,108.5
2,2016,22.8,105.7
3,2016,27.6,104.7
4,2016,37.4,119.2
5,2016,62.6,119.6
6,2016,168.3,117.2
7,2016,289.1,116
8,2016,256.3,123.7
9,2016,171.9,122.6
10,2016,76.1,118.5
11,2016,29.7,118.8
12,2016,14.9,117.3
1,2017,19,116.4
2,2017,22.6,117.8
3,2017,27.8,115.6
4,2017,37.9,116.4
5,2017,62.4,116.3
6,2017,168.1,114.3
7,2017,289.3,113.2
8,2017,256.2,115.9
9,2017,171.5,119.7
10,2017,76.3,118.5
11,2017,29.9,120.4
12,2017,15,128.3
1,2018,19.2,132.2
2,2018,20.1,133.4
3,2018,27.1,130.1
4,2018,40.2,128.1
5,2018,62.7,126.8
6,2018,165,128.1
7,2018,286.3,130
8,2018,254.3,133.9
9,2018,171.9,141.3
10,2018,77.2,150.1
11,2018,28.1,160.8
12,2018,14.1,168.8
1, 2019, 46.4,171.0
2, 2019, 50.0,174.5
3, 2019, 48.2,170.3
4, 2019, 50.0,167.3
5, 2019, 46.8,165.6
10, 2019, 50.0,177.8
11, 2019, 43.5,178.8
12, 2019, 50.0,182.0
1, 2020, 45.0,184.7
2, 2020, 50.0,188.7
3, 2020, 48.9,189.8
4, 2020, 50.0,191.6
5, 2020, 50.0,193.8
10, 2020, 49.5,176.2
11, 2020, 47.0,171.3
12, 2020, 45.2,175.0
1, 2021, 50.0,173.0
2, 2021, 49.3,174.1
3, 2021, 46.8,176.0
4, 2021, 50.0,178.6
5, 2021, 50.0,175.9
10, 2021, 50.0,184.9
11, 2021, 50.0,187.4
12, 2021, 45.7,187.4
1, 2022, 47.5,184.5
2, 2022, 50.0,184.4
3, 2022, 46.1,186.3
4, 2022, 50.0,187.2
5, 2022, 50.0,189.1
10, 2022, 48.4,184.9
11, 2022, 49.8,189.1
12, 2022, 50.0,191.8
